iter	Passed	Remaining
559	2527	1985
560	2529	1979
561	2531	1973
562	2534	1966
563	2536	1960
564	2538	1954
565	2540	1948
566	2542	1941
567	2544	1935
568	2547	1929
569	2549	1923
570	2551	1916
571	2554	1911
572	2556	1905
573	2559	1899
574	2561	1893
575	2562	1886
576	2564	1880
577	2567	1874
578	2570	1868
579	2572	1862
580	2574	1856
581	2576	1850
582	2579	1844
583	2581	1839
584	2584	1833
585	2586	1827
586	2589	1821
587	2592	1816
588	2595	1810
589	2597	1805
590	2601	1800
591	2603	1794
592	2606	1789
593	2609	1783
594	2612	1778
595	2615	1772
596	2618	1767
597	2620	1761
598	2623	1756
599	2626	1751
600	2629	1745
601	2631	1739
602	2634	1734
603	2637	1729
604	2639	1723
605	2642	1717
606	2644	1712
607	2647	1706
608	2649	1701
609	2652	1695
610	2654	1690
611	2657	1684
612	2660	1679
613	2662	1673
614	2665	1668
615	2668	1663
616	2670	1657
617	2673	1652
618	2675	1647
619	2678	1641
620	2680	1636
621	2683	1630
622	2686	1625
623	2687	1619
624	2690	1614
625	2692	1608
626	2695	1603
627	2697	1598
628	2700	1592
629	2703	1587
630	2705	1582
631	2708	1576
632	2710	1571
633	2713	1566
634	2715	1561
635	2718	1555
636	2721	1550
637	2723	1545
638	2726	1540
639	2728	1534
640	2731	1529
641	2733	1524
642	2736	1519
643	2739	1514
644	2741	1509
645	2744	1503
646	2746	1498
647	2749	1493
648	2752	1488
649	2754	1483
650	2757	1478
651	2759	1472
652	2761	1467
653	2764	1462
654	2767	1457
655	2768	1451
656	2771	1446
657	2773	1441
658	2776	1436
659	2778	1431
660	2780	1426
661	2783	1421
662	2786	1416
663	2788	1411
664	2791	1406
665	2793	1401
666	2796	1396
667	2798	1391
668	2801	1386
669	2803	1381
670	2806	1376
671	2808	1370
672	2810	1365
673	2813	1360
674	2815	1355
675	2818	1350
676	2820	1345
677	2823	1340
678	2825	1335
679	2827	1330
680	2830	1325
681	2832	1320
682	2835	1315
683	2837	1310
684	2839	1305
685	2842	1300
686	2844	1295
687	2846	1290
688	2848	1285
689	2850	1280
690	2853	1275
691	2855	1270
692	2856	1265
693	2858	1260
694	2861	1255
695	2863	1250
696	2865	1245
697	2867	1240
698	2870	1235
699	2871	1230
700	2873	1225
701	2875	1220
702	2877	1215
703	2880	1210
704	2882	1206
705	2884	1201
706	2886	1196
707	2889	1191
708	2891	1186
709	2892	1181
710	2895	1176
711	2896	1171
712	2899	1167
713	2901	1162
714	2903	1157
715	2905	1152
716	2908	1147
717	2910	1143
718	2914	1138
719	2916	1134
720	2919	1129
721	2922	1125
722	2924	1120
723	2926	1115
724	2929	1111
725	2931	1106
726	2933	1101
727	2935	1096
728	2938	1092
729	2940	1087
730	2942	1082
731	2944	1078
732	2947	1073
733	2949	1068
734	2951	1064
735	2953	1059
736	2955	1054
737	2957	1050
738	2960	1045
739	2962	1040
740	2964	1036
741	2966	1031
742	2969	1026
743	2971	1022
744	2973	1017
745	2975	1013
746	2977	1008
747	2980	1004
748	2982	999
749	2984	994
750	2986	990
751	2988	985
752	2991	981
753	2993	976
754	2995	972
755	2997	967
756	3000	963
757	3002	958
758	3004	953
759	3007	949
760	3009	945
761	3011	940
762	3014	936
763	3016	931
764	3018	927
765	3020	922
766	3022	918
767	3025	913
768	3027	909
769	3029	904
770	3031	900
771	3033	896
772	3036	891
773	3038	887
774	3041	882
775	3044	878
776	3047	874
777	3048	869
778	3051	865
779	3053	861
780	3055	856
781	3058	852
782	3060	848
783	3062	843
784	3064	839
785	3067	835
786	3069	830
787	3071	826
788	3073	822
789	3076	817
790	3078	813
791	3080	809
792	3082	804
793	3085	800
794	3087	796
